PickupBranchId,BranchName,LocationType,Contracts,AvgPrice,MinPrice,MaxPrice,StdDev
122,"{""en"":""King Khalid Airport Terminal 5 - Riyadh"",""ar"":""مطار الملك خالد الصالة 5 - الرياض""}",Airport,240378,208.0,52.0,1995.0,120.0
15,"{""en"":""King Abdulaziz Airport Terminal 1 - Jeddah"",""ar"":""مطار الملك عبدالعزيز الصالة 1 - جدة""}",Airport,220415,234.0,52.0,1920.0,158.0
26,"{""en"":""Abha Airport"",""ar"":""مطار ابها""}",Airport,80889,222.0,52.0,1785.0,148.0
46,"{""en"":""King Fahad Airport - Dammam"",""ar"":""مطار الملك فهد - الدمام""}",Airport,54500,211.0,52.0,1995.0,127.0
18,"{""en"":""Jazan Airport - Jizan"",""ar"":""مطار الملك عبدالله  - جازان""}",Airport,33687,198.0,52.0,2000.0,125.0
34,"{""en"":""Al Khaldiyah - Al Madina"",""ar"":""الخالدية - المدينة المنورة""}",City,29344,226.0,52.0,1955.0,149.0
36,"{""en"":""Dubai Airport Terminal 1"",""ar"":""مطار دبي الصالة 1""}",Airport,27971,237.0,114.0,1250.0,132.0
17,"{""en"":""Prince Mohammed Airport - Medina"",""ar"":""مطار الامير محمد  - المدينة المنورة""}",Airport,27713,215.0,52.0,1740.0,123.0
57,"{""en"":""King Khalid Airport Terminal 3-4- Riyadh"",""ar"":""مطار الملك خالد الصاله 3-4 - الرياض""}",Airport,26110,215.0,52.0,1770.0,121.0
2,"{""en"":""Al Quds - Riyadh"",""ar"":""القدس - الرياض""}",City,25143,291.0,52.0,1995.0,241.0
211,"{""en"":""Al Yarmuk - Riyadh"",""ar"":""اليرموك - الرياض""}",City,24879,224.0,52.0,2000.0,166.0
210,"{""en"":""Al Shoqiyah - Makkah"",""ar"":""الشوقية - مكة المكرمة""}",City,23746,219.0,52.0,1955.0,154.0
13,"{""en"":""As Salamah - Jeddah"",""ar"":""السلامة - جدة""}",City,21898,259.0,52.0,1995.0,205.0
214,"{""en"":""Ahad Al Mosarihah"",""ar"":""احد المسارحة""}",City,21094,185.0,52.0,1995.0,88.0
199,"{""en"":""Al Nuzhah - Muhayal"",""ar"":""النزهة - محايل عسير""}",City,20070,192.0,52.0,1955.0,97.0
7,"{""en"":""As Suwaidi - Riyadh"",""ar"":""السويدي - الرياض""}",City,20059,249.0,52.0,1856.0,205.0
201,"{""en"":""Al Khuzama - Al Khobar"",""ar"":""الخزامى - الخبر""}",City,19364,228.0,52.0,1955.0,176.0
1032,"{""en"":""King Saud Road -Najran"",""ar"":""طريق الملك سعود نجران""}",City,19303,196.0,52.0,1785.0,117.0
222,"{""en"":""Najran Airport"",""ar"":""مطار نجران""}",Airport,18748,186.0,57.0,1745.0,108.0
67,"{""en"":""Al Yasmin - Riyadh"",""ar"":""الياسمين - الرياض""}",City,18606,285.0,52.0,1965.0,236.0
